"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this DV relate to the research article","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Code of DV","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Sample","Who are the Main Conclusions About?","","Adults","Children","People","","","People","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Sample Code","","1.0","1.0","1.0","","","1.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note here in case above is 8","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the sample is mentioned in","","","12.0","11.0","","","10.0","","4.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Words to First Mention","","","1.0","20.0","","","1.0","","164.0","","","","","","","","","","","","","","","","","","","","103.0","","","","","",""
"","","What terms were included in the count?","","","Children, people, participants, people, ","People, public, cildren, participants, ","","","People, public, man, participants, subjects","","People, participants, consumers","","","","","","","","","","","","","","","","","","","","Children, people","","","","","",""
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual Sample for this","Adults","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Causation/Relationship","Primary Statement of Relationship","...overweight-obese adults showed lower
sweet and salty taste intensity scores compared to normal-weight
controls...","...overweight/obese individuals are more implicitly attracted to sweet...","0.0","0.0","","","...people are putting their health at risk after research showed that natural fruit juice is so packed with sugar it can be addictive...","","...those who drink sugary beverages are left with a dulled sensitivity to sweet tastes...","","","","","","","","","","","","","","","","","","","","…too many sugary drinks can dull taste …","","","","","",""
"","about main IV and DV","Statement of Relationship Code","2.0","2.0","0.0","0.0","","","5.0","","6.0","","","","","","","","","","","","","","","","","","","","5.0","","","","","",""
"","","Probabilistic statement","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Mentions","","","3.0","0.0","","","2.0","","7.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Words to First Mention","","","57.0","-9.0","","","1.0","","0.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","What terms were included in the count?","","","Overweight and obese people have a dulled sensitivity to the sweetness, rated identical drinks as being less sweet, had a stronger preference for sweet than lean","-9.0","","","So packed wit sugar it can be addictive, could give people a sweet tooth","","Dulls, can dull, are left with dulled, can change, can dramatically change, had dulled","","","","","","","","","","","","","","","","","","","","Can dull taste, two sugary drinks a day for four weeks is sufficient to dull people's sensitivity to the taste sensation","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","3.0","3.0","","","2.0","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Is the press release or news story concordant the abstract?","","","3.0","3.0","","","2.0","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Justification Offered for statement of relationship?","","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Causation","Secondary Statement of Cause","...one month of commercially available soft
drink consumption (about 760 ml a day) induced adverse health
outcomes (i.e., increased fat mass, fasting glucose and insulin and
reduced basal fat oxidation, submitted manuscript) and alteted
taste perception of sweet...","…one month of softdrinksupplementation changed sweet taste perception of normal-weight subjects...","…overconsumption of sugary drinks dulls taste buds…","...that overweight and obese people have a 'dulled' sensitivity to the drinks…","","","...overweight people who drink sugary drinks are left with a ""dulled"" sensitivity to them and their sweet taste...","","…the obese participants tended to rate identical drinks as less sweet  than the lean participants…","","","","","","","","","","","","","","","","","","","","…overweight people have a dulled sensitivity to soft drinks... ","","","","","",""
"","about second IV and/or DV","Statement of Cause Code","6.0","6.0","6.0","2.0","","","6.0","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Probabilistic statement","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Mentions","","","3.0","4.0","","","3.0","","1.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Words to First Mention","","","0.0","20.0","","","278.0","","181.0","","","","","","","","","","","","","","","","","","","","37.0","","","","","",""
"","","What terms were included in the count?","","","Dulls taste buds, is sufficient to both dull sensitivity to the taste sensation, can dramatically change taste","Have a dulled, actually cange your taste buds, rated the derinks as being less sweet, reduced sensitivity","","","Dulled sensitivity, rated sugary drinks as less sweet, sweet taste became dulled","","Rates identical drinks as less sweet…","","","","","","","","","","","","","","","","","","","","Dulled sensitivity, have a dulled sensivity","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","0.0","1.0","","","0.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Is the press release or news story concordant with the abstract?","","","0.0","1.0","","","0.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Justification Offered for Cause?","","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Cure","Is 'cure' present in the text?","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","Advice","Advice to Change Behaviour","0.0","0.0","…a study into taste preference suggests children who are thirsty should be encouraged to drink water...","…researchers are encouraging parents to give their children water instead of 'healthy' fruit drinks…","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","...say if children are thirsty they should drink water as even squash and natural fruit juice are high in sugar…","","","","","",""
"","","Code","0.0","0.0","3.0","3.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Number of Mentions","","","1.0","1.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Words to First Mention","","","1.0","182.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","103.0","","","","","",""
"","","What terms were included in the count?","","","A study into taste preference suggests children who are thirsty should be encouraged to drink water.","Researchers are encouraging parents to give their children water instead of 'healthy' fruit drinks","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","Say if children are thirsty they should drink water as even squash and natural fruit juice are high in sugar","","","","","",""
"","","Is the same Advice being coded here?","","","3.0","3.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Note differences here","","","Not stated in the journal article","Not stated in the journal article","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","Not stated in the journal article - but was in thhe press release","","","","","",""
"","","Justification Offered for changing behaviour?","-9.0","-9.0","1.0","1.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Words to First Mention","","","17.0","1.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","0.0","0.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Design  First IV and DV                    ","Study Design","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","31.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Design  Second IV and DV                    ","Study Design","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","60.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Facts","N","46.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","3.0","0.0","2.0","","","2.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Completion Rate","0.696969696969697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Small or Large Based on what they say","0.0","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Duration of Study","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Time Points for longitudinal studies","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Link or reference to PR and Other","","","1.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","Quotes","Present","","","1.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Quote 1 Source","","","","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Quote 2 Source","","","","-9.0","","","2.0","","-9.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Quote 3 Source","","","","-9.0","","","5.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Quote 4 Source","","","","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
