"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","How does this DV relate to the research article","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of DV","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sample","Who are the Main Conclusions About?","","18 methylphenidate-responsive children with ADHD (DSM-IV combined subtype) and 18 pairwise-matched typically developing children aged 9–15 years ","children with and without ADHD","children with ADHD","","","","","","children with ADHD","children with and without ADHD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the sample is mentioned in","","","20.0","13.0","","","","","","9.0","14.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above","as above","","","","","","those with ADHD, young sufferers of ADHD","youngsters with ADHD,  those with ADHD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual Sample for this"," right-handed children aged 9 to 15 years with a clinical diagnosis of ADHD (DSM-IV combined subtype) and responsive to methylphenidate and typically developing controls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Causation/Relationship","Primary Statement of Relationship","In children with ADHD, attenuated DMN deactivation during an inhibitory control task can be normalised either by task-related motivational incentives or by
methylphenidate","children with ADHD exhibit a raised motivational threshold at which taskrelevant stimuli become sufficiently salient to deactivate the DMN","Faulty 'off-switch' stops children with ADHD from concentrating  ","Children with hyperactivity disorder have a faulty 'off-switch' when it comes to their minds wandering","","","","","","CHILDREN with attention deficit disorder have brains that cannot stop daydreaming","Children with hyperactivity disorder have a faulty ""off-switch"" when it comes to their minds wandering","","","","","","","","","","","","","","","","","","","","","","","",""
"","about main IV and DV","Statement of Relationship Code","3.0","3.0","6.0","2.0","","","","","","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the statement probabilistic?","0.0","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","8.0","4.0","","","","","","5.0","3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","1.0","","","","","","0.0","19.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","stopping, may explain, much greater, fail to switch off","fail to switch off, have difficulty, cannot switch off","","","","","","cannot stop, difficulty","enable them to, may have difficulty","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","2.0","1.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant the abstract?","","","2.0","1.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for statement of relationship?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","1.0","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Causation","Secondary Statement of Cause","can be normalisedIn children with ADHD, attenuated DMN deactivation during an inhibitory control task can be normalised either by task-related motivational incentives or by methylphenidate","children with ADHD exhibit a raised motivational threshold at which taskrelevant stimuli become sufficiently salient to deactivate the DMN","Faulty 'off-switch' stops children with ADHD from concentrating  ","incentives and stimulant medication work in a similar way to alter patterns of brain activity and enable them to concentrate and focus better","","","","","","Making a task more interesting - or providing methylphenidate - turns down the volume and allows them to concentrate","Making a task more interesting - or providing methylphenidate - turns down the volume and allows them to concentrate","","","","","","","","","","","","","","","","","","","","","","","",""
"","about second IV and/or DV","Statement of Cause Code","5.0","6.0","6.0","6.0","","","","","","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the statement probabilistic?","0.0","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","8.0","3.0","","","","","","1.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","68.0","","","","","","303.0","68.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","stopping, may explain, much greater, fail to switch off","have difficulty surpressing, cannot switch off","","","","","","as above","fail to switch off","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","2.0","2.0","","","","","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the abstract?","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Cause?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","1.0","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cure","Is 'cure' present in the text?","0.0","0.0","2.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Advice","Advice to Change Behaviour","0.0","0.0",". Making a task more interesting — or providing methylphenidate — turns down the volume and allows them to concentrate","making a task more interesting - or providing methylphenidate - turns down the volume and allows them to concentrate","","","","","","'Making a task more interesting - or providing methylphenidate - turns down the volume and allows them to concentrate","Making a task more interesting - or providing methylphenidate - turns down the volume and allows them to concentrate","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code","0.0","0.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same Advice being coded here?","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for changing behaviour?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Design  First IV and DV                    ","Study Design","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","118.0","372.0","117.0","","","","","","238.0","117.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Design  Second IV and DV                    ","Study Design","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","118.0","372.0","117.0","","","","","","238.0","117.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Facts","N","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Completion Rate","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Small or Large Based on what they say","0.0","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Duration of Study","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Time Points for longitudinal studies","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to PR and Other","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Quotes","Present","","","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 1 Source","","","","1.0","","","","","","2.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 2 Source","","","","2.0","","","","","","1.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 3 Source","","","","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 4 Source","","","","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 5 Source","","","","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," Funding Source + Conflict of Interest ","First mentioned Funding Source","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Second funding source","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","2.0","2.0","","","","","","0.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Conflict of Interest ","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
