"","","DV(s) in title","","Obesity","Obesity","burning calories","","","","","","Losing weight","","","","","","","","","","","","","","","","","","","","","","","","","Making you fat"
"","","Who is it About?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","0.0","3.0","6.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","..cold exposure..","..winter indoor temperatures..","..indoor heating..","","","","","","..reduced exposure to seasonal cold..","","","","","","","","","","","","","","","","","","","","","","","","","..Lower winter temperatures in buildings.."
"","","IV Code","","24.0","24.0","24.0","","","","","","24.0","","","","","","","","","","","","","","","","","","","","","","","","","24.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","11.0","9.0","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Words to First Mention","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","..rising indoor winter temperatures.. ..reduced exposure to seasonal cold.. ..seasonal cold exposure.. ..restricting the range of temperatures we experience in daily life.. ..lower winter indoor temperatures in buildings..","..central heating.. ..having the heating on.. ..average indoor temperatures.. ..extra time we spend indoors.. ..reduced exposure to seasonal cold.. ..exposure to comfortable warm temperatures.. ..restricting the range of temperatures we experience.. ..heating.. ..lower winter temperatures..","","","","","","..turning down the thermostat.. ..central heating turned up and efficient double glazing preventing cold draughts.. ..average indoor temperatures.. ..added time spent indoors.. ..reduced exposure to seasonal cold.. ..periods of time in these warmer environments.. ..Increased time spent indoors, widespread access to central heating and air conditioning, and increased expectations of thermal comfort all contribute to restricting the range of temperatures we experience in daily life.. ..lower winter temperatures.. ..average living room temperatures..","","","","","","","","","","","","","","","","","","","","","","","","","..central heating.. ..average temperature of a home.. ..warm temperatures.. ..heating.. ..lower winter temperatures in builds.."
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","exposure to seasonal cold / winter indoor temperatures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","..adiposity..","Obesity","Obesity","","","","","","Obesity","","","","","","","","","","","","","","","","","","","","","","","","","Obesity"
"","","Code of Main DV","","25.0","25.0","25.0","","","","","","25.0","","","","","","","","","","","","","","","","","","","","","","","","","25.0"
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","9.0","9.0","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","..obesity.. ..rises in obesity.. ..increases in obesity.. ..maintain a healthy weight.. ..body weight.. ..body weight and obesity.. ..obesity epidemic..","..burning calories.. ..extra pounds on your weight.. ..burn as many calories.. ..obesity rules.. ..obesity in the UK and US.. ..adipose tissue.. ..brown fat.. ..obesity..","","","","","","..losing weight.. ..obesity rates.. ..weight gain.. ..obesity problem.. ..obesity in the UK and US.. ..adipose tissue..","","","","","","","","","","","","","","","","","","","","","","","","","..fat.. ..obesity levels.. ..obesity.. ..weight loss.."
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","brown adipose tissue (BAT) proliferation and activation ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Sample","Who are the Main Conclusions About?","","Humans","People","Humans","","","","","","Humans","","","","","","","","","","","","","","","","","","","","","","","","","Humans"
"","","Sample Code","","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Note here in case above is 8","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the sample is mentioned in","","","6.0","9.0","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Words to First Mention","","","1.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","..populations.. ..obesity in the UK and US.. ..UK and US.. ..we.. ..human.. ..we experience..","..you.. ..we.. ..our.. ..your.. ..adults..","","","","","","..you.. ..Britons.. ..they.. ..UK and US.. ..people.. ..we.. ..our..","","","","","","","","","","","","","","","","","","","","","","","","","..you.. ..we've.. ..we're.. ..we.."
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual Sample for this","Humans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation/Relationship","Primary Statement of Relationship","the biological plausibility of a causal link between increased time spent in thermal comfort and increased adiposity in the population","Reduced exposure to seasonal cold may have a dual effect on energy expenditure, both minimizing the need for physiological thermogenesis and reducing thermogenic capacity","Increases in winter indoor temperatures in the United Kingdom, United States and other developed countries may be contributing to rises in obesity ","central heating is making you fat","","","","","","For modern living with the central heating turned up and efficient double glazing preventing cold draughts are helping to send obesity rates soaring","","","","","","","","","","","","","","","","","","","","","","","","","Having your central heating on can lead to a lack of physical activity, which can lead to obesity"
"","about main IV and DV","Statement of Relationship Code","6.0","4.0","4.0","6.0","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","","0.0","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Mentions","","","5.0","3.0","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Words to First Mention","","","17.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","..may be contributing.. ..potential causal link.. ..could help.. ..may lead to.. ..may also have a contributing role..","..is making you.. ..we no longer have.. ..direct link..","","","","","","..could be.. ..are helping.. ..leading to.. ..direct link.. ..might contribute..","","","","","","","","","","","","","","","","","","","","","","","","","..could be.."
"","","Is the press release or news story concordant with the Journal Article Body?","","","1.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Is the press release or news story concordant the abstract?","","","0.0","2.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Justification Offered for statement of relationship?","","1.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","1.0","1.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation","Secondary Statement of Cause","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","about second IV and/or DV","Statement of Cause Code","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the statement probabilistic?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Mentions","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the Journal Article Body?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the abstract?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Cause?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Cure","Is 'cure' present in the text?","0.0","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","Advice","Advice to Change Behaviour","..Establishing the significance and magnitude of the effects of
both short-term and long-term thermal exposures on body
weight could lead to the development of novel therapies to
address obesity on an individual and a population level..","..may raise possibilities for novel public health strategies to address obesity..","..lower winter temperatures in buildings might contribute to tackling obesity as well reducing carbon emissions..","..lower winter temperatures in buildings might contribute to tackling obesity as well reducing carbon emissions..","","","","","","..lower winter temperatures in buildings might contribute to tackling obesity as well reducing carbon emissions..","","","","","","","","","","","","","","","","","","","","","","","","","..lower winter temperatures in buildings might contribute to tackling obesity as well reducing carbon emissions.."
"","","Code","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Mentions","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same Advice being coded here?","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for changing behaviour?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Study Design  First IV and DV                    ","Study Design","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Words to First Mention","","20.0","279.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","Study Design  Second IV and DV                    ","Study Design","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Study Facts","N","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Completion Rate","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Small or Large Based on what they say","0.0","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Duration of Study","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Time Points","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Link or reference to PR and Other","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","Quotes","Present","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Quote 1 Source","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Quote 2 Source","","","","-9.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 3 Source","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 4 Source","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 5 Source","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," Funding Source + Conflict of Interest ","Main Funding Source","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Any other funding sources","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","2.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Conflict of Interest ","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
