"","","is there ambiguity?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Base Rate Mentioned","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Sample","Who are the Main Conclusions About?","","Mice","…individuals…","","","","People with Schizophrenia","","","","","","People with Schizophrenia","","","","","","","","","","","","","","","","","","","","","","Schizophrenia"
"","","Sample Code","","4.0","2.0","","","","1.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Note here in case above is 8","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the sample is mentioned in","","","2.0","","","","3.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","17.0","","","","81.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Individuals, people","","","","Schizophrenia sufferers, people, individuals","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","Schizophrenia, the condition, "
"","","Is the sample code the same as the main conclusions of the abstract?","","","2.0","","","","2.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Note differences here","","","The Press Release does not state that the study used a rodent sample","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","The study used mice"
"","","Actual Sample for this","Mice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","0.0","0.0","2.0","","","","2.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","-9.0","-9.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation/Relationship","Primary Statement of Relationship","...acts as a molecular
switch between two key stages of cortical development…","…dual role for DISC1 in corticogenesis…","0.0","","","","...Researchers at the University of Glasgow have discovered how a protein linked to the mental health condition acts as a switch to control key stages in the development of the brain...","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","about main IV and DV","Statement of Relationship Code","6.0","6.0","0.0","","","","6.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Probabilistic statement","0.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Mentions","","","1.0","","","","2.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Words to First Mention","","","226.0","","","","21.0","","","","","","274.0","","","","","","","","","","","","","","","","","","","","","","50.0"
"","","What terms were included in the count?","","","Acts as a molecular switch that controls ","","","","Acts as a switch to control, acts as a switch which controls","","","","","","Acts as a moleccular switch which controls","","","","","","","","","","","","","","","","","","","","","","DISC1, plays a key role in the development of the brain cortex, DISC1 acts as 'a molecular switch' to control two key stages "
"","","Is the press release or news story concordant with the Journal Article Body?","","","3.0","","","","0.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Is the press release or news story concordant the abstract?","","","3.0","","","","0.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Justification Offered for statement of relationship?","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","1.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation","Secondary Statement of Cause","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","about second IV and/or DV","Statement of Cause Code","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Probabilistic statement","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Mentions","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the Journal Article Body?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the abstract?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Cause?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Cure","Is 'cure' present in the text?","0.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","Advice","Advice to Change Behaviour","0.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Code","0.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Mentions","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same Advice being coded here?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for changing behaviour?","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Study Design  First IV and DV                    ","Study Design","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","18.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Study Design  Second IV and DV                    ","Study Design","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Study Facts","N","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Completion Rate","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Small or Large Based on what they say","0.0","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Duration of Study","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Time Points for longitudinal studies","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","1.0","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Link or reference to PR and Other","","","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","Quotes","Present","","","1.0","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Quote 1 Source","","","","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 2 Source","","","","","","","-9.0","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 3 Source","","","","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 4 Source","","","","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Quote 5 Source","","","","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," Funding Source + Conflict of Interest ","First mentioned Funding Source","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Second funding source","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","2.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Conflict of Interest ","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sample","The sample is not mentioned in the press release. I have coded implied humans because the first 2/3 sentences talk about individuals with schizophrenia and the number of people the disorder effects.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","IV","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","IV2","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DV","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DV2","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
