"","","Statement of Cause","","0.0","6.0","0.0","6.0","6.0","0.0","0.0","4.0","6.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","dietary energy intake","extreme low calorie diet","diet of 600 calories a day","600 calorie-a-day diet","600 calories-a-day eating plan","ultra-low calorie diet","very low calorie diet","low calorie diet","600 calorie a day diet","Low-calorie diet ","","","","","","","","","","","","","","","","","","","","","","","","","very-low calorie diet"
"","","IV Code","","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","10.0","8.0","3.0","7.0","10.0","3.0","13.0","10.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","6.0","1.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","diet, extreme diet, cutting their food intake, eight week diet, this diet, very low calorie diet","diet, cutting calories severily, 600 calories a day","diet, regime, dithing calories","diet, eating plan","diet, food intake cut, cutting down what they eat, drop in calories","diet, just 600 calories a day","diet, calorie intake, food intake","diet, 600 calories","diet, eight week plan, drop in calories","","","","","","","","","","","","","","","","","","","","","","","","","diet, just 600 calories a day"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","dietary intervention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","type 2 diabetes","","","","","","","","","","","","","","","","","","","","","","","","","type 2 diabetes"
"","","Code of Main DV","","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","18.0"
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","23.0","14.0","4.0","6.0","15.0","2.0","23.0","11.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","type 2 diabetes, diabetes, the condition","diabetes, the condition, the disease","diabetes, the condition","diabetes","diabetes, the condition, lifelong problem","diabetes","diabetes, the condition","diabetes, the condition","diabetes, the disease","","","","","","","","","","","","","","","","","","","","","","","","","diabetes, diabetics"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","plasma glucose, hepatic glucose production (HGP), hepatic triacylglycerol content (TG), insulin secretion, etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","419.0","-9.0","-9.0","-9.0","551.0","-9.0","-9.0","414.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Sample","Who are the Main Conclusions About?","","people with type 2 diabetes","people","diabetics","DIABETES sufferers ","patients","-9.0","people","people","-9.0","people","","","","","","","","","","","","","","","","","","","","","","","","","people"
"","","Sample Code","","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","-9.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Note here in case above is 8","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the sample is mentioned in","","","14.0","9.0","3.0","7.0","12.0","3.0","18.0","9.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","21.0","0.0","1.0","0.0","25.0","0.0","1.0","50.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","What terms were included in the count?","","","people, adults, someone, other diabetics","diabetics, Britons, men and women, sufferers, patients","diabetes sufferers, people","patients, sufferers, people","people, patients, someone, volunteers","people, patients","people, participants, diabetics, someone, volunteers, study group, group, participant","people, patients, volunteers, someone","people, diabetics","","","","","","","","","","","","","","","","","","","","","","","","","people, volunteers"
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","sample is explicitly humans in the abstract","-9.0","-9.0","abstract is explicitly humans","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual Sample for this","Individuals with type 2 diabetes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation/Relationship","Primary Statement of Relationship","..type 2 diabetes can be reversed by acute negative energy balance alone...","..The abnormalities underlying type 2 diabetes are reversible by reducing dietary energy intake..","..Diet reverses Type 2 Diabetes..","..diabetes ... could be wiped out by cutting calories severely for just two months..","..Ditching calories 'reverses diabetes'..","..A special 600 calories-a-day eating plan cuts fat in the pancreas and prompts insulin cells to wake up..","..EATING an ultra low-calorie diet can cure Type 2 diabetes in just eight weeks..","..an eight-week diet could prompt the body to produce its own insulin..","..type 2 diabetes ... have been cured … by keeping to an extreme, low-calorie, diet for two months..","..Adhering to a strict 600 calories a day causes fat levels in the pancreas to drop rapidly..","..by following the eight-week plan the body can produce its own insulin..","","","","","","","","","","","","","","","","","","","","","","","","","..Strict diet can reverse diabetes.."
"","about main IV and DV","Statement of Relationship Code","5.0","6.0","6.0","4.0","6.0","6.0","5.0","4.0","6.0","6.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","is the statement probabilistic?","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Mentions","","","7.0","1.0","2.0","3.0","6.0","3.0","7.0","5.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Words to First Mention","","","0.0","14.0","0.0","21.0","11.0","6.0","0.0","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","reverses, can be reversed, reversed, because of, could change","could be wiped out","reverses, could reverse","cuts fat, could change, reverse","can cure, reverse, jump-start, because of, direct effect","could prompt, could be enough to reverse","hope of cure, cured, recovery was possible, because of, reverse, can lead to, can be reversed","cure, causes, can be reversed, could cure, reverse","could reverse, can produce, reduces, can be reversed","","","","","","","","","","","","","","","","","","","","","","","","","can reverse, can cure, could be all it takes to kick-start"
"","","Is the press release or news story concordant with the Journal Article Body?","","","2.0","1.0","2.0","2.0","0.0","1.0","2.0","2.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Is the press release or news story concordant the abstract?","","","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Justification Offered for statement of relationship?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","438.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","637.0","28.0","-9.0","-9.0","-9.0","-9.0","765.0","101.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Causation","Secondary Statement of Cause","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","about second IV and/or DV","Statement of Cause Code","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the statement probabilistic?","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Mentions","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the Journal Article Body?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the press release or news story concordant with the abstract?","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Cause?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Cure","Is 'cure' present in the text?","1.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","3.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
