""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","version of the serotonin transporter gene","variant of the 5-HTT gene ","","5-HTT version","","happiness gene","","versions of the 5-HTT gene ","number of sets of 5-HTT gene","version of the 5-HTT gene ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","19.0","19.0","","19.0","","19.0","","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","19.0","","6.0","","1.0","","24.0","4.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","0.0","","1.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","gene, genetic condition, genetic type, variant, alleles, genetic make-up","","genes, gene, long copies, short versions","","gene","","gene, genetic makeup, genetic, biological mechanisms, biology, variants, genetics","gene","genetic, gene, inheritance, long version, biology","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","","0.0","","0.0","3.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","-9.0","they tested short vs long alleles rather than 2 alleles vs 1 allele","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","5-HTTLPR genotype","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","levels of life satisfaction","happiness","","satisfaction with life","","happiness","","happiness","happiness","life satisfaction","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of Main DV","","11.0","11.0","","11.0","","11.0","","11.0","11.0","11.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","1.0","","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","15.0","","7.0","","2.0","","23.0","3.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","happiness, well-being, satisfied, dissatisfied, happier","","level of contentment, satisfied, content, happier","","happiness, good spirits","","happiness, satisfied, satisfaction, happier, rosy, cheerful, dissatisfied, misery","happiness, content, satisfied","happy life, satisfied, sunny disposition, pessimistic, tendency to see the glass half empty, satisfaction, sulkiness, happiness, happy","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","life satisfaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","0.0","1.0","","1.0","","0.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","How does this DV relate to the research article","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of DV","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sample","Who are the Main Conclusions About?","","sample of Americans","people","","human (our)","","people","","humans (your)","people","people","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","","1.0","1.0","","1.0","","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the sample is mentioned in","","","9.0","","5.0","","1.0","","11.0","2.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","1.0","","34.0","","1.0","","46.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","people, person, participant, subject, those with, population, human","","people","","people","","people, those, person","people, those with","people, those who, adults, those with","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual Sample for this","participating individuals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Causation/Relationship","Primary Statement of Relationship","5-HTTLPR ‘long’—is identified as having a sizeable positive association with self-reported life satisfaction","individuals with the transcriptionally more efficient version of the serotonin transporter gene, report significantly higher levels of life satisfaction","a direct link between a specific genetic condition and a person’s happiness, as measured by their satisfaction with life","","""happiness gene"" in the brain which they believe is the key to our basic level of contentment","","some people are blessed with a longer and more efficient version of it than others, enabling them to be in good spirits more often","","Your overall happiness may depend in part on whether you drew the long or short version of a gene","A ""HAPPINESS GENE"" that has a strong influence on how satisfied people are with their lives has been discovered","Researchers have identified a ""happiness gene"" that makes people more likely to feel satisfied with their lives","","","","","","","","","","","","","","","","","","","","","","","","",""
"","about main IV and DV","Statement of Relationship Code","2.0","2.0","3.0","","6.0","","6.0","","4.0","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the statement probabilistic?","0.0","0.0","0.0","","0.0","","0.0","","0.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","9.0","","6.0","","1.0","","10.0","2.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","2.0","","0.0","","25.0","","0.0","5.0","15.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","tend to be happier if, a direct link between, increases the likelihood, rose, is instrumental in shaping, link between, no small part due to, is associated with","","down to, is the key to, tend to be the most, are the least satisfied, helps to explain, instrumental in shaping","","enabling","","link, may depend, linked, influenced, were more likely, influence, account for, increased","strong influence, twice as likely","makes, more likely, is equally a part of, linked, link between","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","2.0","","2.0","","2.0","","2.0","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant the abstract?","","","2.0","","2.0","","2.0","","2.0","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for statement of relationship?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","1.0","0.0","1.0","","0.0","","0.0","","1.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","416.0","","-9.0","","-9.0","","478.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Causation","Secondary Statement of Cause","-9.0","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","about second IV and/or DV","Statement of Cause Code","-9.0","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the statement probabilistic?","-9.0","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the press release or news story concordant with the abstract?","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Cause?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cure","Is 'cure' present in the text?","0.0","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Advice","Advice to Change Behaviour","0.0","0.0","0.0","","0.0","","0.0","","If you're feeling down, you can say it's your biology telling you life is less rosy that it is","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code","0.0","0.0","0.0","","0.0","","0.0","","3.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Mentions","","","-9.0","","-9.0","","-9.0","","1.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","152.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","-9.0","","If you're feeling down, you can say it's your biology telling you life is less rosy that it is","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same Advice being coded here?","","","-9.0","","-9.0","","-9.0","","3.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","advice not present in the JA","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for changing behaviour?","-9.0","-9.0","-9.0","","-9.0","","-9.0","","0.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","-9.0","","-9.0","","0.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Design  First IV and DV                    ","Study Design","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","1.0","","0.0","","0.0","","1.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","-9.0","193.0","","-9.0","","-9.0","","239.0","-9.0","296.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Design  Second IV and DV                    ","Study Design","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Study Facts","N","2574.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","3.0","","3.0","","0.0","","1.0","0.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Completion Rate","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","1.0","0.0","","0.0","","0.0","","1.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Small or Large Based on what they say","0.0","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Duration of Study","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Time Points for longitudinal studies","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","2.0","","0.0","","0.0","","2.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to PR and Other","","","1.0","","0.0","","0.0","","1.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Quotes","Present","","","1.0","","1.0","","0.0","","1.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 1 Source","","","","","1.0","","-9.0","","2.0","-9.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
