"","","IV Code","","20.0","20.0","","","","","","","20.0","","","","","","","","","","","","","","","","","","","","20.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Words to First Mention","","","35.0","","","","","","","40.0","","","","","","","","","","","","","","","","","","","","59.0","","","","","",""
"","","What terms were included in the count?","","","two proteins, Hoxa9, this protein, Bmi1, Bmi1 and Hoxa9","","","","","","","two particular proteins, Bmi1, Hoxa9","","","","","","","","","","","","","","","","","","","","two key proteins, two proteins, Bmi1, Hoxa9","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","the IV is not in the first two sentences of the news article","","","","","","","","","","","","","","","","","","","","not clear what the IV is from the first two sentences","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","functional interplay between Bmi1 and Hoxa9 molecular pathways","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","leukaemic stem cell development","leukaemic stem cells","","","","","","","leukaemia stem cells","","","","","","","","","","","","","","","","","","","","leukaemic stem cells","","","","","",""
"","","Code of Main DV","","23.0","23.0","","","","","","","23.0","","","","","","","","","","","","","","","","","","","","23.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","15.0","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","10.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","18.0","","","","","","","","","","","","","","","","","","","","26.0","","","","","",""
"","","What terms were included in the count?","","","stem cell treatment,leukaemic stem cells, cancer stem cells, leukaemia cells, cancer cells","","","","","","","leukaemia stem cells, stem cells, cancer stem cells, MLL stem cells, leukaemic stem cells","","","","","","","","","","","","","","","","","","","","leukaemia stem cells, leukaemic stem cells, cancer stem cells, stem cells, rogue stem cells","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","number of colonies 
of normal and leukemic stem cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","IV Code","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this DV relate to the research article","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Code of DV","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Base Rate Mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Sample","Who are the Main Conclusions About?","","mice","mice","","","","","","","mice","","","","","","","","","","","","","","","","","","","","patient","","","","","",""
"","","Sample Code","","4.0","4.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Note here in case above is 8","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the sample is mentioned in","","","3.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Words to First Mention","","","35.0","","","","","","","18.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","What terms were included in the count?","","","mice","","","","","","","mice","","","","","","","","","","","","","","","","","","","","patients, patient, people","","","","","",""
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","sample is mice in the abstract","","","","","",""
"","","Actual Sample for this","Bmi1+/  mice, Hoxa9 /  mice, and Bmi1 / Hoxa9 /  compound KO mice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","0.0","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Number of Sentences the actual sample is mentioned in the Abstract, PR or News","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","43.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","mice","","","","","",""
"","","Justification Offered for Generalisation?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Causation/Relationship","Primary Statement of Relationship","a critical functional interplay between these two molecular pathways in establishment of normal and leukemic stem cells","these results reveal an important functional interplay between MLL/Hox and Bmi1 in regulating cellular senescence for LSC development","leukaemic stem cells can be abolished by suppressing two proteins","","","","","","","a discovery that could enable leukaemia sufferers to be completely rid of the disease","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","about main IV and DV","Statement of Relationship Code","6.0","6.0","4.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Is the statement probabilistic?","0.0","0.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Mentions","","","4.0","","","","","","","5.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Words to First Mention","","","46.0","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","59.0","","","","","",""
"","","What terms were included in the count?","","","can be abolished, key role, major role, completely abolishes","","","","","","","could enable, stops, key role, a way to abolish, remove","","","","","","","","","","","","","","","","","","","","eliminated, a key role, abolished the ability","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Is the press release or news story concordant the abstract?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Justification Offered for statement of relationship?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","0.0","0.0","1.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","510.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Causation","Secondary Statement of Cause","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","about second IV and/or DV","Statement of Cause Code","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the statement probabilistic?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Mentions","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the press release or news story concordant with the Journal Article Body?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the press release or news story concordant with the abstract?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Cause?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Cure","Is 'cure' present in the text?","0.0","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","Advice","Advice to Change Behaviour","0.0","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Code","0.0","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Mentions","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same Advice being coded here?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for changing behaviour?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Design  First IV and DV                    ","Study Design","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Design  Second IV and DV                    ","Study Design","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Study Facts","N","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Completion Rate","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Small or Large Based on what they say","0.0","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Duration of Study","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Time Points for longitudinal studies","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Open Access?","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Link or reference to Original Research","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Link or reference to PR and Other","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","Quotes","Present","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Quote 1 Source","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Quote 2 Source","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","5.0","","","","","",""
"","","Quote 3 Source","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Quote 4 Source","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Quote 5 Source","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," Funding Source + Conflict of Interest ","First mentioned Funding Source","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Second funding source","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","2.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Conflict of Interest ","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
